video_name,frame_number,frame_gt,frame_prediction,tubelet_index,tubelet_center,tubelet_confidence,tubelet_path
2019_09_02_C0002_2527_inspire,186,1,1,2,187,0.9998028874397278,data\tubelets\test\test_013798.npy
2019_09_02_C0002_3700_mavic,245,1,1,0,244,0.9508545398712158,data\tubelets\test\test_006089.npy
00_01_52_to_00_01_58,146,1,1,0,145,0.9999630451202393,data\tubelets\test\test_011631.npy
00_01_52_to_00_01_58,146,1,1,1,146,0.9997602105140686,data\tubelets\test\test_011632.npy
00_01_52_to_00_01_58,146,1,1,2,147,0.999718964099884,data\tubelets\test\test_011634.npy
2019_09_02_C0002_3700_mavic,919,1,0,-1,-1,0.0,NO_COVERAGE
00_02_45_to_00_03_10_cut,393,1,1,0,392,0.9996165037155151,data\tubelets\test\test_012220.npy
00_02_45_to_00_03_10_cut,393,1,1,1,393,0.9979479908943176,data\tubelets\test\test_012224.npy
00_02_45_to_00_03_10_cut,393,1,1,2,394,0.9994327425956726,data\tubelets\test\test_012228.npy
2019_09_02_C0002_2527_inspire,451,1,1,0,450,0.9999995231628418,data\tubelets\test\test_014728.npy
2019_09_02_C0002_2527_inspire,451,1,1,1,451,0.9999995231628418,data\tubelets\test\test_014729.npy
2019_09_02_C0002_2527_inspire,451,1,1,2,452,0.9999997615814209,data\tubelets\test\test_014731.npy
00_06_10_to_00_06_27,325,1,1,0,324,0.9999828338623047,data\tubelets\test\test_012283.npy
2019_09_02_C0002_2527_inspire,222,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,510,1,1,0,509,0.9331467747688293,data\tubelets\test\test_008141.npy
2019_09_02_C0002_3700_mavic,101,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,487,1,1,0,486,1.0,data\tubelets\test\test_014856.npy
2019_09_02_C0002_2527_inspire,487,1,1,1,487,0.9999998807907104,data\tubelets\test\test_014861.npy
2019_09_02_C0002_2527_inspire,487,1,1,2,488,1.0,data\tubelets\test\test_014867.npy
00_06_10_to_00_06_27,361,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,775,1,1,0,774,0.9992455244064331,data\tubelets\test\test_010590.npy
2019_09_02_C0002_3700_mavic,775,1,1,1,775,0.9996944665908813,data\tubelets\test\test_010593.npy
2019_09_02_C0002_3700_mavic,775,1,1,2,776,0.9862480759620667,data\tubelets\test\test_010596.npy
00_02_45_to_00_03_10_cut,249,1,1,0,248,0.9858314990997314,data\tubelets\test\test_011868.npy
00_02_45_to_00_03_10_cut,249,1,1,1,249,0.9953485131263733,data\tubelets\test\test_011871.npy
00_02_45_to_00_03_10_cut,249,1,1,2,250,0.8017820715904236,data\tubelets\test\test_011872.npy
00_02_45_to_00_03_10_cut,20,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,78,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,366,1,0,-1,-1,0.0,NO_COVERAGE
00_02_45_to_00_03_10_cut,285,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,343,1,1,0,342,0.9989607334136963,data\tubelets\test\test_014385.npy
2019_09_02_C0002_2527_inspire,343,1,1,1,343,0.9990658164024353,data\tubelets\test\test_014391.npy
2019_09_02_C0002_2527_inspire,343,1,1,2,344,0.9999815225601196,data\tubelets\test\test_014399.npy
2019_09_02_C0002_3700_mavic,631,1,1,0,630,0.9999969005584717,data\tubelets\test\test_009768.npy
2019_09_02_C0002_3700_mavic,631,1,1,1,631,0.9999994039535522,data\tubelets\test\test_009776.npy
2019_09_02_C0002_3700_mavic,631,1,1,2,631,0.922262966632843,data\tubelets\test\test_009777.npy
2019_09_02_C0002_3700_mavic,631,1,1,3,632,0.9999972581863403,data\tubelets\test\test_009782.npy
2019_09_02_C0002_3700_mavic,222,1,1,0,222,0.8712502121925354,data\tubelets\test\test_005890.npy
00_01_52_to_00_01_58,123,1,1,0,122,0.9997647404670715,data\tubelets\test\test_011606.npy
00_01_52_to_00_01_58,123,1,1,1,123,0.9998824596405029,data\tubelets\test\test_011607.npy
00_01_52_to_00_01_58,123,1,1,2,124,0.9998877048492432,data\tubelets\test\test_011608.npy
00_06_10_to_00_06_27,482,1,1,0,481,0.9998619556427002,data\tubelets\test\test_012363.npy
00_06_10_to_00_06_27,482,1,1,1,482,0.9992934465408325,data\tubelets\test\test_012364.npy
00_06_10_to_00_06_27,482,1,1,2,483,0.9998481273651123,data\tubelets\test\test_012365.npy
2019_09_02_C0002_3700_mavic,896,1,1,0,895,0.9887442588806152,data\tubelets\test\test_011396.npy
2019_09_02_C0002_3700_mavic,896,1,1,1,896,0.9687730669975281,data\tubelets\test\test_011399.npy
00_02_45_to_00_03_10_cut,370,1,0,-1,-1,0.0,NO_COVERAGE
00_02_45_to_00_03_10_cut,141,1,1,0,140,0.6025265455245972,data\tubelets\test\test_011674.npy
2019_09_02_C0002_2527_inspire,199,1,1,0,198,0.8899957537651062,data\tubelets\test\test_013850.npy
2019_09_02_C0002_2527_inspire,199,1,1,1,199,0.8851577639579773,data\tubelets\test\test_013859.npy
2019_09_02_C0002_3700_mavic,487,1,1,0,486,0.5502103567123413,data\tubelets\test\test_008058.npy
2019_09_02_C0002_3700_mavic,78,0,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,464,1,1,0,463,0.9999998807907104,data\tubelets\test\test_014759.npy
2019_09_02_C0002_2527_inspire,464,1,1,1,464,1.0,data\tubelets\test\test_014763.npy
2019_09_02_C0002_2527_inspire,464,1,1,2,465,0.9999998807907104,data\tubelets\test\test_014768.npy
00_06_10_to_00_06_27,338,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,752,1,1,0,751,0.999988317489624,data\tubelets\test\test_010466.npy
2019_09_02_C0002_3700_mavic,752,1,1,1,752,0.9999793767929077,data\tubelets\test\test_010472.npy
2019_09_02_C0002_3700_mavic,752,1,1,2,753,0.9999969005584717,data\tubelets\test\test_010479.npy
2019_09_02_C0002_2527_inspire,55,1,1,0,54,0.9998730421066284,data\tubelets\test\test_013353.npy
2019_09_02_C0002_2527_inspire,55,1,1,1,55,0.9986162185668945,data\tubelets\test\test_013355.npy
2019_09_02_C0002_2527_inspire,55,1,1,2,56,0.9986444115638733,data\tubelets\test\test_013361.npy
2019_09_02_C0002_3700_mavic,343,1,1,0,342,0.9271668791770935,data\tubelets\test\test_007004.npy
2019_09_02_C0002_3700_mavic,343,1,1,1,342,0.917711615562439,data\tubelets\test\test_007011.npy
2019_09_02_C0002_3700_mavic,343,1,1,2,343,0.6617739200592041,data\tubelets\test\test_007020.npy
2019_09_02_C0002_3700_mavic,343,1,1,3,343,0.9216533899307251,data\tubelets\test\test_007028.npy
2019_09_02_C0002_3700_mavic,343,1,1,4,344,0.9902480244636536,data\tubelets\test\test_007034.npy
2019_09_02_C0002_3700_mavic,114,1,0,-1,-1,0.0,NO_COVERAGE
00_02_45_to_00_03_10_cut,262,1,1,0,262,0.7662296891212463,data\tubelets\test\test_011922.npy
2019_09_02_C0002_2527_inspire,320,1,1,0,319,0.9999932050704956,data\tubelets\test\test_014289.npy
2019_09_02_C0002_2527_inspire,320,1,1,1,320,0.9999982118606567,data\tubelets\test\test_014292.npy
2019_09_02_C0002_2527_inspire,320,1,1,2,321,0.9999634027481079,data\tubelets\test\test_014295.npy
2019_09_02_C0002_3700_mavic,608,1,1,0,607,0.9999994039535522,data\tubelets\test\test_009574.npy
2019_09_02_C0002_3700_mavic,608,1,1,1,607,0.8572946786880493,data\tubelets\test\test_009580.npy
2019_09_02_C0002_3700_mavic,608,1,1,2,608,0.9999831914901733,data\tubelets\test\test_009583.npy
2019_09_02_C0002_3700_mavic,608,1,1,3,608,0.66456538438797,data\tubelets\test\test_009584.npy
2019_09_02_C0002_3700_mavic,608,1,1,4,609,0.9999984502792358,data\tubelets\test\test_009591.npy
2019_09_02_C0002_3700_mavic,608,1,1,5,609,0.5349435806274414,data\tubelets\test\test_009592.npy
2019_09_02_C0002_3700_mavic,608,1,1,6,609,0.7325332760810852,data\tubelets\test\test_009598.npy
2019_09_02_C0002_3700_mavic,379,1,0,-1,-1,0.0,NO_COVERAGE
00_01_52_to_00_01_58,100,1,1,0,99,0.9978269934654236,data\tubelets\test\test_011574.npy
00_01_52_to_00_01_58,100,1,1,1,100,0.9993053674697876,data\tubelets\test\test_011575.npy
00_01_52_to_00_01_58,100,1,1,2,101,0.9994825124740601,data\tubelets\test\test_011576.npy
00_06_10_to_00_06_27,459,1,1,0,458,0.9998522996902466,data\tubelets\test\test_012340.npy
00_06_10_to_00_06_27,459,1,1,1,459,0.9999961853027344,data\tubelets\test\test_012341.npy
00_06_10_to_00_06_27,459,1,1,2,460,0.9999879598617554,data\tubelets\test\test_012342.npy
2019_09_02_C0002_3700_mavic,873,1,1,0,872,0.9999997615814209,data\tubelets\test\test_011252.npy
2019_09_02_C0002_3700_mavic,873,1,1,1,872,0.6809654831886292,data\tubelets\test\test_011264.npy
2019_09_02_C0002_3700_mavic,873,1,1,2,873,0.9999998807907104,data\tubelets\test\test_011265.npy
2019_09_02_C0002_3700_mavic,873,1,1,3,874,0.9999998807907104,data\tubelets\test\test_011274.npy
2019_09_02_C0002_3700_mavic,873,1,1,4,874,0.915841281414032,data\tubelets\test\test_011287.npy
00_02_45_to_00_03_10_cut,118,1,1,0,117,0.9162907600402832,data\tubelets\test\test_011670.npy
2019_09_02_C0002_2527_inspire,176,1,1,0,175,0.9709177613258362,data\tubelets\test\test_013770.npy
2019_09_02_C0002_2527_inspire,176,1,1,1,176,0.8308089375495911,data\tubelets\test\test_013774.npy
2019_09_02_C0002_2527_inspire,176,1,1,2,177,0.9031298756599426,data\tubelets\test\test_013776.npy
2019_09_02_C0002_3700_mavic,464,1,1,0,463,0.9999638795852661,data\tubelets\test\test_007970.npy
2019_09_02_C0002_3700_mavic,464,1,1,1,464,0.9999263286590576,data\tubelets\test\test_007976.npy
2019_09_02_C0002_3700_mavic,235,1,1,0,234,0.8757977485656738,data\tubelets\test\test_005979.npy
00_02_45_to_00_03_10_cut,383,1,1,0,382,0.997707724571228,data\tubelets\test\test_012197.npy
00_02_45_to_00_03_10_cut,383,1,1,1,383,0.7939669489860535,data\tubelets\test\test_012201.npy
2019_09_02_C0002_2527_inspire,441,1,1,0,440,0.9999998807907104,data\tubelets\test\test_014711.npy
2019_09_02_C0002_2527_inspire,441,1,1,1,441,1.0,data\tubelets\test\test_014712.npy
2019_09_02_C0002_2527_inspire,441,1,1,2,442,0.9999998807907104,data\tubelets\test\test_014713.npy
00_06_10_to_00_06_27,315,1,1,0,314,0.9998428821563721,data\tubelets\test\test_012273.npy
00_06_10_to_00_06_27,315,1,1,1,315,0.9999270439147949,data\tubelets\test\test_012274.npy
00_06_10_to_00_06_27,315,1,1,2,316,0.9999493360519409,data\tubelets\test\test_012275.npy
2019_09_02_C0002_3700_mavic,729,1,1,0,729,0.9933868050575256,data\tubelets\test\test_010372.npy
2019_09_02_C0002_3700_mavic,729,1,1,1,730,0.9517077207565308,data\tubelets\test\test_010376.npy
2019_09_02_C0002_3700_mavic,500,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,32,1,1,0,31,0.9998313188552856,data\tubelets\test\test_013179.npy
2019_09_02_C0002_2527_inspire,32,1,1,1,31,0.6360758543014526,data\tubelets\test\test_013181.npy
2019_09_02_C0002_2527_inspire,32,1,1,2,32,0.9991983771324158,data\tubelets\test\test_013206.npy
2019_09_02_C0002_2527_inspire,32,1,1,3,33,0.8420034646987915,data\tubelets\test\test_013232.npy
2019_09_02_C0002_3700_mavic,91,1,1,0,90,0.8580407500267029,data\tubelets\test\test_004921.npy
2019_09_02_C0002_3700_mavic,91,1,1,1,92,0.5709211826324463,data\tubelets\test\test_004961.npy
2019_09_02_C0002_3700_mavic,765,1,1,0,764,0.9999610185623169,data\tubelets\test\test_010521.npy
2019_09_02_C0002_3700_mavic,765,1,1,1,765,0.9999889135360718,data\tubelets\test\test_010528.npy
2019_09_02_C0002_3700_mavic,765,1,1,2,765,0.5960901975631714,data\tubelets\test\test_010531.npy
2019_09_02_C0002_3700_mavic,765,1,1,3,766,0.999970555305481,data\tubelets\test\test_010536.npy
2019_09_02_C0002_3700_mavic,765,1,1,4,766,0.5561298131942749,data\tubelets\test\test_010541.npy
00_02_45_to_00_03_10_cut,239,1,1,0,239,0.6965808272361755,data\tubelets\test\test_011833.npy
2019_09_02_C0002_2527_inspire,297,1,1,0,296,0.9854047894477844,data\tubelets\test\test_014203.npy
2019_09_02_C0002_2527_inspire,297,1,1,1,297,0.8384981751441956,data\tubelets\test\test_014207.npy
2019_09_02_C0002_2527_inspire,297,1,1,2,298,0.9652482867240906,data\tubelets\test\test_014210.npy
2019_09_02_C0002_2527_inspire,68,1,1,0,67,0.9884710311889648,data\tubelets\test\test_013395.npy
2019_09_02_C0002_2527_inspire,68,1,1,1,68,0.9995929598808289,data\tubelets\test\test_013396.npy
2019_09_02_C0002_3700_mavic,356,1,1,0,355,0.764396071434021,data\tubelets\test\test_007166.npy
00_01_52_to_00_01_58,77,1,1,0,76,0.994650661945343,data\tubelets\test\test_011544.npy
00_01_52_to_00_01_58,77,1,1,1,77,0.9960405826568604,data\tubelets\test\test_011545.npy
00_01_52_to_00_01_58,77,1,1,2,78,0.9987688660621643,data\tubelets\test\test_011546.npy
00_06_10_to_00_06_27,436,1,1,0,435,0.9537099003791809,data\tubelets\test\test_012317.npy
00_06_10_to_00_06_27,436,1,1,1,436,0.8681764006614685,data\tubelets\test\test_012318.npy
00_06_10_to_00_06_27,436,1,1,2,437,0.995172917842865,data\tubelets\test\test_012319.npy
2019_09_02_C0002_2527_inspire,333,1,1,0,332,0.9999977350234985,data\tubelets\test\test_014311.npy
2019_09_02_C0002_2527_inspire,333,1,1,1,333,0.9999997615814209,data\tubelets\test\test_014316.npy
2019_09_02_C0002_2527_inspire,333,1,1,2,334,0.9999996423721313,data\tubelets\test\test_014324.npy
2019_09_02_C0002_3700_mavic,850,1,1,0,849,0.999972939491272,data\tubelets\test\test_011037.npy
2019_09_02_C0002_3700_mavic,850,1,1,1,850,0.999997615814209,data\tubelets\test\test_011046.npy
2019_09_02_C0002_3700_mavic,850,1,1,2,850,0.9324936866760254,data\tubelets\test\test_011058.npy
2019_09_02_C0002_3700_mavic,850,1,1,3,851,0.9999971389770508,data\tubelets\test\test_011059.npy
2019_09_02_C0002_3700_mavic,621,1,1,0,620,0.9999991655349731,data\tubelets\test\test_009706.npy
2019_09_02_C0002_3700_mavic,621,1,1,1,621,0.9999972581863403,data\tubelets\test\test_009717.npy
2019_09_02_C0002_3700_mavic,621,1,1,2,622,0.9999984502792358,data\tubelets\test\test_009727.npy
00_02_45_to_00_03_10_cut,95,1,1,0,95,0.9084335565567017,data\tubelets\test\test_011668.npy
2019_09_02_C0002_3700_mavic,212,1,1,0,211,0.9999792575836182,data\tubelets\test\test_005829.npy
2019_09_02_C0002_3700_mavic,212,1,1,1,212,0.999427318572998,data\tubelets\test\test_005835.npy
2019_09_02_C0002_3700_mavic,212,1,1,2,213,0.9996527433395386,data\tubelets\test\test_005843.npy
00_01_52_to_00_01_58,113,1,1,0,112,0.9999070167541504,data\tubelets\test\test_011591.npy
00_01_52_to_00_01_58,113,1,1,1,113,0.9998670816421509,data\tubelets\test\test_011594.npy
00_01_52_to_00_01_58,113,1,1,2,114,0.9992823004722595,data\tubelets\test\test_011596.npy
00_06_10_to_00_06_27,472,1,1,0,471,0.9999415874481201,data\tubelets\test\test_012353.npy
00_06_10_to_00_06_27,472,1,1,1,472,0.999212384223938,data\tubelets\test\test_012354.npy
00_06_10_to_00_06_27,472,1,1,2,473,0.9998303651809692,data\tubelets\test\test_012355.npy
2019_09_02_C0002_3700_mavic,886,1,1,0,885,0.9999977350234985,data\tubelets\test\test_011360.npy
2019_09_02_C0002_3700_mavic,886,1,1,1,886,0.9999979734420776,data\tubelets\test\test_011365.npy
2019_09_02_C0002_3700_mavic,886,1,1,2,887,0.9999884366989136,data\tubelets\test\test_011370.npy
00_02_45_to_00_03_10_cut,360,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,418,1,1,0,417,0.9999997615814209,data\tubelets\test\test_014657.npy
2019_09_02_C0002_2527_inspire,418,1,1,1,418,0.9999998807907104,data\tubelets\test\test_014660.npy
2019_09_02_C0002_2527_inspire,418,1,1,2,419,0.9999997615814209,data\tubelets\test\test_014661.npy
00_02_45_to_00_03_10_cut,131,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,189,1,1,0,188,0.999739944934845,data\tubelets\test\test_013800.npy
2019_09_02_C0002_2527_inspire,189,1,1,1,189,0.9998862743377686,data\tubelets\test\test_013805.npy
2019_09_02_C0002_2527_inspire,189,1,1,2,190,0.9999217987060547,data\tubelets\test\test_013806.npy
00_06_10_to_00_06_27,63,0,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,477,1,1,0,476,0.5503544211387634,data\tubelets\test\test_008022.npy
2019_09_02_C0002_3700_mavic,68,0,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,454,1,1,0,453,0.9999995231628418,data\tubelets\test\test_014736.npy
2019_09_02_C0002_2527_inspire,454,1,1,1,454,1.0,data\tubelets\test\test_014740.npy
2019_09_02_C0002_2527_inspire,454,1,1,2,455,1.0,data\tubelets\test\test_014743.npy
00_06_10_to_00_06_27,328,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_3700_mavic,742,1,1,0,741,0.9998818635940552,data\tubelets\test\test_010420.npy
2019_09_02_C0002_3700_mavic,742,1,1,1,742,0.9999668598175049,data\tubelets\test\test_010422.npy
2019_09_02_C0002_3700_mavic,742,1,1,2,743,0.9999939203262329,data\tubelets\test\test_010424.npy
00_02_45_to_00_03_10_cut,216,1,0,-1,-1,0.0,NO_COVERAGE
2019_09_02_C0002_2527_inspire,45,1,1,0,44,0.9997559189796448,data\tubelets\test\test_013291.npy
2019_09_02_C0002_2527_inspire,45,1,1,1,45,0.999966025352478,data\tubelets\test\test_013303.npy
2019_09_02_C0002_2527_inspire,45,1,1,2,46,0.9874946475028992,data\tubelets\test\test_013314.npy
2019_09_02_C0002_3700_mavic,333,1,1,0,332,0.9993472695350647,data\tubelets\test\test_006862.npy
2019_09_02_C0002_3700_mavic,333,1,1,1,333,0.9998973608016968,data\tubelets\test\test_006873.npy
2019_09_02_C0002_3700_mavic,333,1,1,2,334,0.9982144832611084,data\tubelets\test\test_006889.npy
00_02_45_to_00_03_10_cut,252,1,1,0,251,0.5652169585227966,data\tubelets\test\test_011875.npy
00_02_45_to_00_03_10_cut,252,1,1,1,252,0.9042137265205383,data\tubelets\test\test_011878.npy
